Sno.,UID,Bush,Group,Last I.O Raised,Category,Stock Location
5,PTLP0071A03 - PCD 71 X 3A - 1108 - TLP,1108,TLP,,TLP - A,20C-10.1
8,PTLP0075A02-NS-T2 - PCD 75 X 2A TYPE 2 - 1108 - TLP,1108,TLP,R-605-20 (24/11)(25 IN 26/12),TLP - A,20C-10.5
39,PTLP0095A02 - PCD 95 X 2A - 1610 - TLP,1610,TLP,,TLP - A,20B-20.1
58,PTLP0106A04 - PCD 106 X 4A - 1615 - TLP,1615,TLP,u1-5 pcs in 13/11,TLP - A,19C-10.3
77,PTLP0125A02 - PCD 125 X 2A - 1610 - TLP,1610,TLP,R-923-150(19/12)(100 IN 30/12),TLP - A,19C-20.2
85,PTLP0132A03 - PCD 132 X 3A - 2012 - TLP,2012,TLP,unit1- 18 (01/11),TLP - A,19B-20.4
91,PTLP0140A03 - PCD 140 X 3A - 2517 - TLP,2517,TLP,,TLP - A,18C-10.3
99,PTLP0150A05 - PCD 150 X 5A - 2517 - TLP,2517,TLP,R- 624-5(28/11),TLP - A,18A-10.2
103,PTLP0160A03 - PCD 160 X 3A - 2517 - TLP,2517,TLP,R - 608-20 (24/11)(21 IN 26/12),TLP - A,18C-20.1
107,PTLP0170A01 - PCD 170 X 1A - 1610 - TLP,1610,TLP,R - 608-20 (24/11)(15 IN 26/12),TLP - A,18C-20.2
114,PTLP0180A02 - PCD 180 X 2A - 2012 - TLP,2012,TLP,R-926-20(19/12),TLP - A,18A-20.2
121,PTLP0190A02 - PCD 190 X 2A - 2012 - TLP,2012,TLP,R-665-15(28/11)R-926-20(19/12),TLP - A,17C-10.1
126,PTLP0200A01 - PCD 200 X 1A - 2012 - TLP,2012,TLP,,TLP - A,17D-10.3
136,PTLP0212A03 - PCD 212 X 3A - 5195 - TLP,5195,TLP,R-808-10(10/12),TLP - A,17A-10.2
140,PTLP0224A01 - PCD 224 X 1A - 2012 - TLP,2012,TLP,R-501-10(14/12)(11 IN 24/12),TLP - A,17D-20.3
146,PTLP0236A01 - PCD 236 X 1A - 2012 - TLP,2012,TLP,R-716-1(5/12),TLP - A,17C-20.1
147,PTLP0236A02 - PCD 236 X 2A - 2517 - TLP,2517,TLP,R-502-10(14/12)R-927-20(19/12),TLP - A,17C-20.3
150,PTLP0236A04 - PCD 236 X 4A - 3020 - TLP,3020,TLP,R-502-10(14/12)(3 IN 27/12),TLP - A,17B-20.2
154,PTLP0250A02 - PCD 250 X 2A - 2517 - TLP,2517,TLP,R-717-10(05/12)(10 IN 27/12),TLP - A,17A-20.1
212,PTLP0425A02 - PCD 425 X 2A - 2517 - TLP,2517,TLP,R-945-3(20/12),TLP - A,
224,PTLP0475A02 - PCD 475 X 2A - 2517 - TLP,2517,TLP,R-776-2(08/12),TLP - A,
264,PTLP0106B01 - PCD 106 X 1B - 1610 - TLP,1610,TLP,R-580-15(22/11),TLP - B,16D -10.1
